date,symbol,open,high,low,close,volume,source,fetchedAt,series
2024-07-11,VNFIN,1608.91,1613.94,1600.61,1601.31,193424100,vndirect_dchart_public,2026-06-08T09:01:06.148261+00:00,banking_index
2024-07-12,VNFIN,1597.46,1602.86,1587.03,1591.13,144104500,vndirect_dchart_public,2026-06-08T09:01:06.148264+00:00,banking_index
2024-07-15,VNFIN,1591.11,1597.1,1583.89,1588.7,122981800,vndirect_dchart_public,2026-06-08T09:01:06.148268+00:00,banking_index
2024-07-16,VNFIN,1589.14,1609.12,1589.14,1597.31,191756500,vndirect_dchart_public,2026-06-08T09:01:06.148271+00:00,banking_index
2024-07-17,VNFIN,1605.66,1645.53,1595.52,1614.25,420594500,vndirect_dchart_public,2026-06-08T09:01:06.148275+00:00,banking_index
2024-07-18,VNFIN,1615.82,1621.58,1595.34,1620.6,202971000,vndirect_dchart_public,2026-06-08T09:01:06.148278+00:00,banking_index
2024-07-19,VNFIN,1620.6,1635.27,1610.41,1619.09,341064500,vndirect_dchart_public,2026-06-08T09:01:06.148281+00:00,banking_index
2024-07-22,VNFIN,1614.43,1629.35,1597.7,1613.07,311283300,vndirect_dchart_public,2026-06-08T09:01:06.148285+00:00,banking_index
2024-07-23,VNFIN,1616.69,1620.88,1571.3,1574.67,277102000,vndirect_dchart_public,2026-06-08T09:01:06.148288+00:00,banking_index
2024-07-24,VNFIN,1568.25,1584.29,1555.21,1578.19,238959700,vndirect_dchart_public,2026-06-08T09:01:06.148291+00:00,banking_index
2024-07-25,VNFIN,1568.99,1570.83,1554.17,1564.01,145776500,vndirect_dchart_public,2026-06-08T09:01:06.148295+00:00,banking_index
2024-07-26,VNFIN,1565.31,1567.9,1558.31,1567.23,129747700,vndirect_dchart_public,2026-06-08T09:01:06.148298+00:00,banking_index
2024-07-29,VNFIN,1571.21,1578.32,1568.09,1569.43,121505100,vndirect_dchart_public,2026-06-08T09:01:06.148314+00:00,banking_index
2024-07-30,VNFIN,1567.59,1572.24,1557.67,1568.59,168955700,vndirect_dchart_public,2026-06-08T09:01:06.148318+00:00,banking_index
2024-07-31,VNFIN,1570.99,1586.79,1570.99,1583.78,217607700,vndirect_dchart_public,2026-06-08T09:01:06.148323+00:00,banking_index
2024-08-01,VNFIN,1587.3,1591.1,1543.57,1551.67,279601100,vndirect_dchart_public,2026-06-08T09:01:06.148326+00:00,banking_index
2024-08-02,VNFIN,1547.74,1566.03,1528.37,1566.03,238057500,vndirect_dchart_public,2026-06-08T09:01:06.148330+00:00,banking_index
2024-08-05,VNFIN,1545.04,1548.25,1496.84,1500.33,333411300,vndirect_dchart_public,2026-06-08T09:01:06.148333+00:00,banking_index
2024-08-06,VNFIN,1516.45,1534.32,1499.46,1528.75,201096700,vndirect_dchart_public,2026-06-08T09:01:06.148338+00:00,banking_index
2024-08-07,VNFIN,1532.78,1532.78,1512.25,1520.72,141752400,vndirect_dchart_public,2026-06-08T09:01:06.148341+00:00,banking_index
2024-08-08,VNFIN,1511.09,1523.99,1500.36,1506.57,197399400,vndirect_dchart_public,2026-06-08T09:01:06.148345+00:00,banking_index
2024-08-09,VNFIN,1517.85,1533.35,1514.3,1530.33,185427100,vndirect_dchart_public,2026-06-08T09:01:06.148348+00:00,banking_index
2024-08-12,VNFIN,1534.12,1543.3,1525.76,1543.3,142110800,vndirect_dchart_public,2026-06-08T09:01:06.148351+00:00,banking_index
2024-08-13,VNFIN,1540.8,1543.96,1532.13,1538.9,144563800,vndirect_dchart_public,2026-06-08T09:01:06.148355+00:00,banking_index
2024-08-14,VNFIN,1544.81,1545.26,1532.88,1533.75,121521000,vndirect_dchart_public,2026-06-08T09:01:06.148358+00:00,banking_index
2024-08-15,VNFIN,1533.72,1537.1,1525.61,1531.26,120559500,vndirect_dchart_public,2026-06-08T09:01:06.148362+00:00,banking_index
2024-08-16,VNFIN,1533.29,1571.63,1533.29,1571.63,305928500,vndirect_dchart_public,2026-06-08T09:01:06.148365+00:00,banking_index
2024-08-19,VNFIN,1578.81,1585.26,1572.61,1582.24,187497200,vndirect_dchart_public,2026-06-08T09:01:06.148368+00:00,banking_index
